1a_24_25VITD2Hm;0
1a_24_25VITD3Hm;0
1a_25VITD2Hm;0
1a_25VITD3Hm;0
25VITD2Hm;0
25VITD3Hm;0
34DHPHAMT;0
3HPCOAHYD;0
3HPPD;0
3HXKYNDCL;0
3HXKYNOXDA;0
3M4HDXPAC;0
3MOXTYROX;0
3NTD7l;0
42A12BOOX;0
4MPTNLtr;0
5HOXINDACTOXm;0
5HOXINOXDA;0
5HTRPDOX;0
5HXKYNDCL;0
5HXKYNOXDA;0
A_MANASE;0
A4GALTc;0
A4GNT1g;0
ABUTt2rL;0
ACACT8p;0
ACACT9p;0
ACGSm;0
ACOATA;0
ACODA;0
ACSOMT;0
ACSRTNMT;0
ACtg;0
ADEtl;0
ADHAPtx;0
ADNtl;0
ADPGLC;0
ADPMAN;0
ADPRDPm;0
ADSELK;0
AGLPC;0
AGLPED;0
AGLPET;0
AGLPH;0
AGLPR;0
AGLPT;0
AGPex;0
AGPRim;0
AGPSx;0
AHANDROSTANGLCte;0
AHANDROSTANGLCtr;0
AHCYStn;0
ALAt2rL;0
ALDD20x;0
ALDD20xm;0
ALKP;0
ALOX12;0
ALOX12R;0
ALOX15;0
AMACR2r;0
AMACRr;0
AMETtn;0
AMPtr;0
AP4AH1;0
APRTO2;0
AQCOBALt;0
ARTFR11;0
ARTFR12;0
ARTFR13;0
ARTFR202;0
ARTFR203;0
ARTFR204;0
ARTFR205;0
ARTFR206;0
ARTFR207;0
ARTFR208;0
ARTFR209;0
ARTFR210;0
ARTFR211;0
ARTFR212;0
ARTFR213;0
ARTFR31;0
ARTFR32;0
ARTFR33;0
ARTFR34;0
ARTFR41;0
ARTFR42;0
ARTFR43;0
ARTFR44;0
ARTFR45;0
ARTFR46;0
ARTFR51;0
ARTFR52;0
ARTFR53;0
ARTFR54;0
ARTFR55;0
ARTFR56;0
ARTFR57;0
ARTFR61;0
ARTPLM1;0
ARTPLM1m;0
ARTPLM2;0
ARTPLM2m;0
ARTPLM3;0
ARTPLM3m;0
BAMPPALDOXm;0
BBHOX;0
BDG2HCGHD;0
BTNt2m;0
BZt;0
BZtr;0
C2M26DCOAHLm;0
C2M26DCOAHLx;0
CBL2OR;0
CBL2tm;0
CBLATm;0
CBPPer;0
CBPter;0
CBR1;0
CCA_D3t;0
CCA_D3tm;0
CHSTEROLtg;0
CHTNASE;0
CITMCOAHm;0
